Timestamp,User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
9/3/2023 10:04,User_258,VoIP_Call,-73 dBm,35 ms,55 Kbps,80 Kbps,90%
9/3/2023 10:04,User_259,Online_Gaming,-58 dBm,30 ms,4.6 Mbps,4.9 Mbps,80%
9/3/2023 10:04,User_260,Streaming,-93 dBm,44 ms,3.0 Mbps,3.5 Mbps,85%
9/3/2023 10:04,User_261,Video_Call,-54 dBm,36 ms,12.8 Mbps,14.1 Mbps,75%
9/3/2023 10:04,User_262,Video_Streaming,-96 dBm,41 ms,2.7 Mbps,3.1 Mbps,70%
9/3/2023 10:04,User_263,Emergency_Service,-50 dBm,5 ms,0.6 Mbps,0.6 Mbps,70%
9/3/2023 10:04,User_264,Web_Browsing,-104 dBm,11 ms,0.2 Mbps,0.2 Mbps,70%
9/3/2023 10:04,User_265,Background_Download,-107 dBm,62 ms,510 Kbps,510 Kbps,60%
9/3/2023 10:04,User_266,VoIP_Call,-72 dBm,36 ms,50 Kbps,75 Kbps,90%
9/3/2023 10:04,User_267,Online_Gaming,-57 dBm,31 ms,4.7 Mbps,5.0 Mbps,80%
9/3/2023 10:04,User_268,Streaming,-94 dBm,45 ms,2.9 Mbps,3.4 Mbps,85%
9/3/2023 10:04,User_269,Video_Call,-53 dBm,37 ms,12.9 Mbps,14.2 Mbps,75%
9/3/2023 10:04,User_270,Video_Streaming,-97 dBm,42 ms,2.6 Mbps,3.0 Mbps,70%
9/3/2023 10:04,User_271,Emergency_Service,-49 dBm,5 ms,0.6 Mbps,0.6 Mbps,70%
9/3/2023 10:04,User_272,Web_Browsing,-105 dBm,10 ms,0.2 Mbps,0.2 Mbps,70%
9/3/2023 10:04,User_273,Background_Download,-108 dBm,63 ms,500 Kbps,500 Kbps,60%
9/3/2023 10:04,User_274,VoIP_Call,-71 dBm,37 ms,45 Kbps,70 Kbps,90%
9/3/2023 10:04,User_275,Online_Gaming,-56 dBm,32 ms,4.8 Mbps,5.1 Mbps,80%
9/3/2023 10:04,User_276,Streaming,-95 dBm,46 ms,2.8 Mbps,3.3 Mbps,85%
9/3/2023 10:04,User_277,Video_Call,-52 dBm,38 ms,13.0 Mbps,14.3 Mbps,75%
9/3/2023 10:04,User_278,Video_Streaming,-98 dBm,43 ms,2.5 Mbps,2.9 Mbps,70%
9/3/2023 10:04,User_279,Emergency_Service,-49 dBm,5 ms,0.6 Mbps,0.6 Mbps,70%
9/3/2023 10:04,User_280,Web_Browsing,-105 dBm,9 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:04,User_281,Background_Download,-109 dBm,64 ms,490 Kbps,490 Kbps,60%
9/3/2023 10:04,User_282,VoIP_Call,-70 dBm,38 ms,40 Kbps,65 Kbps,90%
9/3/2023 10:04,User_283,Online_Gaming,-55 dBm,33 ms,4.9 Mbps,5.2 Mbps,80%
9/3/2023 10:04,User_284,Streaming,-96 dBm,47 ms,2.7 Mbps,3.2 Mbps,85%
9/3/2023 10:04,User_285,Video_Call,-51 dBm,39 ms,13.1 Mbps,14.4 Mbps,75%
9/3/2023 10:04,User_286,Video_Streaming,-99 dBm,44 ms,2.4 Mbps,2.8 Mbps,70%
9/3/2023 10:04,User_287,Emergency_Service,-48 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:04,User_288,Web_Browsing,-105 dBm,8 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:04,User_289,Background_Download,-110 dBm,65 ms,480 Kbps,480 Kbps,60%
9/3/2023 10:04,User_290,VoIP_Call,-69 dBm,39 ms,35 Kbps,60 Kbps,90%
9/3/2023 10:05,User_291,Online_Gaming,-54 dBm,34 ms,5.0 Mbps,5.3 Mbps,80%
9/3/2023 10:05,User_292,Streaming,-97 dBm,48 ms,2.6 Mbps,3.1 Mbps,85%
9/3/2023 10:05,User_293,Video_Call,-50 dBm,40 ms,13.2 Mbps,14.5 Mbps,75%
9/3/2023 10:05,User_294,Video_Streaming,-100 dBm,45 ms,2.3 Mbps,2.7 Mbps,70%
9/3/2023 10:05,User_295,Emergency_Service,-48 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:05,User_296,Web_Browsing,-106 dBm,7 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:05,User_297,Background_Download,-111 dBm,66 ms,470 Kbps,470 Kbps,60%
9/3/2023 10:05,User_298,VoIP_Call,-68 dBm,40 ms,30 Kbps,55 Kbps,90%
9/3/2023 10:05,User_299,Online_Gaming,-53 dBm,35 ms,5.1 Mbps,5.4 Mbps,80%
9/3/2023 10:05,User_300,Streaming,-98 dBm,49 ms,2.5 Mbps,3.0 Mbps,85%
9/3/2023 10:05,User_301,Video_Call,-49 dBm,41 ms,13.3 Mbps,14.6 Mbps,75%
9/3/2023 10:05,User_302,Video_Streaming,-101 dBm,46 ms,2.2 Mbps,2.6 Mbps,70%
9/3/2023 10:05,User_303,Emergency_Service,-47 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:05,User_304,Web_Browsing,-106 dBm,6 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:05,User_305,Background_Download,-112 dBm,67 ms,460 Kbps,460 Kbps,60%
9/3/2023 10:05,User_306,VoIP_Call,-67 dBm,41 ms,25 Kbps,50 Kbps,90%
9/3/2023 10:05,User_307,Online_Gaming,-52 dBm,36 ms,5.2 Mbps,5.5 Mbps,80%
9/3/2023 10:05,User_308,Streaming,-99 dBm,50 ms,2.4 Mbps,2.9 Mbps,85%
9/3/2023 10:05,User_309,Video_Call,-48 dBm,42 ms,13.4 Mbps,14.7 Mbps,75%
9/3/2023 10:05,User_310,Video_Streaming,-102 dBm,47 ms,2.1 Mbps,2.5 Mbps,70%
9/3/2023 10:05,User_311,Emergency_Service,-47 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:05,User_312,Web_Browsing,-107 dBm,5 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:05,User_313,Background_Download,-113 dBm,68 ms,450 Kbps,450 Kbps,60%
9/3/2023 10:05,User_314,VoIP_Call,-66 dBm,42 ms,20 Kbps,45 Kbps,90%
9/3/2023 10:05,User_315,Online_Gaming,-51 dBm,37 ms,5.3 Mbps,5.6 Mbps,80%
9/3/2023 10:05,User_316,Streaming,-100 dBm,51 ms,2.3 Mbps,2.8 Mbps,85%
9/3/2023 10:05,User_317,Video_Call,-47 dBm,43 ms,13.5 Mbps,14.8 Mbps,75%
9/3/2023 10:05,User_318,Video_Streaming,-103 dBm,48 ms,2.0 Mbps,2.4 Mbps,70%
9/3/2023 10:05,User_319,Emergency_Service,-46 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:05,User_320,Web_Browsing,-107 dBm,4 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:05,User_321,Background_Download,-114 dBm,69 ms,440 Kbps,440 Kbps,60%
9/3/2023 10:05,User_322,VoIP_Call,-65 dBm,43 ms,15 Kbps,40 Kbps,90%
9/3/2023 10:05,User_323,Online_Gaming,-50 dBm,38 ms,5.4 Mbps,5.7 Mbps,80%
9/3/2023 10:05,User_324,Streaming,-101 dBm,52 ms,2.2 Mbps,2.7 Mbps,85%
9/3/2023 10:05,User_325,Video_Call,-46 dBm,44 ms,13.6 Mbps,14.9 Mbps,75%
9/3/2023 10:05,User_326,Video_Streaming,-104 dBm,49 ms,1.9 Mbps,2.3 Mbps,70%
9/3/2023 10:05,User_327,Emergency_Service,-46 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:05,User_328,Web_Browsing,-108 dBm,3 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:05,User_329,Background_Download,-115 dBm,70 ms,430 Kbps,430 Kbps,60%
9/3/2023 10:05,User_330,VoIP_Call,-64 dBm,44 ms,10 Kbps,35 Kbps,90%
9/3/2023 10:05,User_331,Online_Gaming,-49 dBm,39 ms,5.5 Mbps,5.8 Mbps,80%
9/3/2023 10:05,User_332,Streaming,-102 dBm,53 ms,2.1 Mbps,2.6 Mbps,85%
9/3/2023 10:05,User_333,Video_Call,-45 dBm,45 ms,13.7 Mbps,15.0 Mbps,75%
9/3/2023 10:05,User_334,Video_Streaming,-105 dBm,50 ms,1.8 Mbps,2.2 Mbps,70%
9/3/2023 10:05,User_335,Emergency_Service,-45 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:05,User_336,Web_Browsing,-108 dBm,2 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:05,User_337,Background_Download,-116 dBm,71 ms,420 Kbps,420 Kbps,60%
9/3/2023 10:05,User_338,VoIP_Call,-63 dBm,45 ms,5 Kbps,30 Kbps,90%
9/3/2023 10:05,User_339,Online_Gaming,-48 dBm,40 ms,5.6 Mbps,5.9 Mbps,80%
9/3/2023 10:05,User_340,Streaming,-103 dBm,54 ms,2.0 Mbps,2.5 Mbps,85%
9/3/2023 10:05,User_341,Video_Call,-45 dBm,46 ms,13.8 Mbps,15.1 Mbps,75%
9/3/2023 10:05,User_342,Video_Streaming,-106 dBm,51 ms,1.7 Mbps,2.1 Mbps,70%
9/3/2023 10:05,User_343,Emergency_Service,-44 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:05,User_344,Web_Browsing,-109 dBm,1 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:05,User_345,Background_Download,-117 dBm,72 ms,410 Kbps,410 Kbps,60%
9/3/2023 10:05,User_346,VoIP_Call,-62 dBm,46 ms,0 Kbps,25 Kbps,90%
9/3/2023 10:05,User_347,Online_Gaming,-47 dBm,41 ms,5.7 Mbps,6.0 Mbps,80%
9/3/2023 10:05,User_348,Streaming,-104 dBm,55 ms,1.9 Mbps,2.4 Mbps,85%
9/3/2023 10:05,User_349,Video_Call,-44 dBm,47 ms,13.9 Mbps,15.2 Mbps,75%
9/3/2023 10:05,User_350,Video_Streaming,-107 dBm,52 ms,1.6 Mbps,2.0 Mbps,70%
9/3/2023 10:06,User_351,Emergency_Service,-44 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:06,User_352,Web_Browsing,-109 dBm,0 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:06,User_353,Background_Download,-118 dBm,73 ms,400 Kbps,400 Kbps,60%
9/3/2023 10:06,User_354,VoIP_Call,-61 dBm,47 ms,0 Kbps,20 Kbps,90%
9/3/2023 10:06,User_355,Online_Gaming,-46 dBm,42 ms,5.8 Mbps,6.1 Mbps,80%
9/3/2023 10:06,User_356,Streaming,-105 dBm,56 ms,1.8 Mbps,2.3 Mbps,85%
9/3/2023 10:06,User_357,Video_Call,-43 dBm,48 ms,14.0 Mbps,15.3 Mbps,75%
9/3/2023 10:06,User_358,Video_Streaming,-108 dBm,53 ms,1.5 Mbps,1.9 Mbps,70%
9/3/2023 10:06,User_359,Emergency_Service,-43 dBm,5 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:06,User_360,Web_Browsing,-110 dBm,0 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:06,User_361,Background_Download,-119 dBm,74 ms,390 Kbps,390 Kbps,60%
9/3/2023 10:06,User_362,VoIP_Call,-60 dBm,48 ms,0 Kbps,15 Kbps,90%
9/3/2023 10:06,User_363,Online_Gaming,-45 dBm,43 ms,5.9 Mbps,6.2 Mbps,80%
9/3/2023 10:06,User_364,Streaming,-106 dBm,57 ms,1.7 Mbps,2.2 Mbps,85%
9/3/2023 10:06,User_365,Video_Call,-43 dBm,49 ms,14.1 Mbps,15.4 Mbps,75%
9/3/2023 10:06,User_366,Video_Streaming,-109 dBm,54 ms,1.4 Mbps,1.8 Mbps,70%
9/3/2023 10:06,User_367,Emergency_Service,-42 dBm,5 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:06,User_368,Web_Browsing,-110 dBm,0 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:06,User_369,Background_Download,-120 dBm,75 ms,380 Kbps,380 Kbps,60%
9/3/2023 10:06,User_370,VoIP_Call,-59 dBm,49 ms,0 Kbps,10 Kbps,90%
9/3/2023 10:06,User_371,Online_Gaming,-44 dBm,44 ms,6.0 Mbps,6.3 Mbps,80%
9/3/2023 10:06,User_372,Streaming,-107 dBm,58 ms,1.6 Mbps,2.1 Mbps,85%
9/3/2023 10:06,User_373,Video_Call,-42 dBm,50 ms,14.2 Mbps,15.5 Mbps,75%
9/3/2023 10:06,User_374,Video_Streaming,-110 dBm,55 ms,1.3 Mbps,1.7 Mbps,70%
9/3/2023 10:06,User_375,Emergency_Service,-42 dBm,5 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:06,User_376,Web_Browsing,-111 dBm,0 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:06,User_377,Background_Download,-121 dBm,76 ms,370 Kbps,370 Kbps,60%
9/3/2023 10:06,User_378,VoIP_Call,-58 dBm,50 ms,0 Kbps,5 Kbps,90%
9/3/2023 10:06,User_379,Online_Gaming,-43 dBm,45 ms,6.1 Mbps,6.4 Mbps,80%
9/3/2023 10:06,User_380,Streaming,-108 dBm,59 ms,1.5 Mbps,2.0 Mbps,85%
9/3/2023 10:06,User_381,Video_Call,-41 dBm,51 ms,14.3 Mbps,15.6 Mbps,75%
9/3/2023 10:06,User_382,Video_Streaming,-111 dBm,56 ms,1.2 Mbps,1.6 Mbps,70%
9/3/2023 10:06,User_383,Emergency_Service,-41 dBm,5 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:06,User_384,Web_Browsing,-111 dBm,0 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:06,User_385,Background_Download,-122 dBm,77 ms,360 Kbps,360 Kbps,60%
9/3/2023 10:06,User_386,VoIP_Call,-57 dBm,51 ms,0 Kbps,0 Kbps,90%
9/3/2023 10:06,User_387,Online_Gaming,-42 dBm,46 ms,6.2 Mbps,6.5 Mbps,80%
9/3/2023 10:06,User_388,Streaming,-109 dBm,60 ms,1.4 Mbps,1.9 Mbps,85%
9/3/2023 10:06,User_389,Video_Call,-41 dBm,52 ms,14.4 Mbps,15.7 Mbps,75%
9/3/2023 10:06,User_390,Video_Streaming,-112 dBm,57 ms,1.1 Mbps,1.5 Mbps,70%
9/3/2023 10:06,User_391,Emergency_Service,-40 dBm,5 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:06,User_392,Web_Browsing,-112 dBm,0 ms,0.1 Mbps,0.1 Mbps,70%
9/3/2023 10:06,User_393,Background_Download,-123 dBm,78 ms,350 Kbps,350 Kbps,60%
9/3/2023 10:06,User_394,VoIP_Call,-56 dBm,52 ms,0 Kbps,0 Kbps,90%
9/3/2023 10:06,User_395,Online_Gaming,-41 dBm,47 ms,6.3 Mbps,6.6 Mbps,80%
9/3/2023 10:06,User_396,Streaming,-110 dBm,61 ms,1.3 Mbps,1.8 Mbps,85%
9/3/2023 10:06,User_397,Video_Call,-40 dBm,53 ms,14.5 Mbps,15.8 Mbps,75%
9/3/2023 10:06,User_398,Video_Streaming,-113 dBm,58 ms,1.0 Mbps,1.4 Mbps,70%
9/3/2023 10:06,User_399,Emergency_Service,-40 dBm,5 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:06,User_400,Web_Browsing,-113 dBm,0 ms,0.1 Mbps,0.1 Mbps,70%
